tick,day,cause_action,direct_effect,delayed_effect,affected_resident,affected_resource,trust_delta,schedule_delta,recovery_path,no_history_erasure,harm_recoverable
1253,70,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,work->negotiate debt,give space,True,True
1254,70,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,rest->negotiate debt,finish owed work,True,True
1255,70,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,negotiate debt->care duty,rest before retry,True,True
1256,70,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Nia,care,-0.002,seek tool->care duty,apologize and wait,True,True
1257,70,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,care duty->private task,return object,True,True
1258,70,move,position changes but history remains intact,scheduler and debt panel update after reload,Fay,wood,0.004,private task->recover focus,offer help,True,True
1259,70,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,recover focus->work,give space,True,True
1260,71,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,rest->seek tool,rest before retry,True,True
1261,71,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,negotiate debt->seek tool,apologize and wait,True,True
1262,71,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,seek tool->private task,return object,True,True
1263,71,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Ari,water,0.002,care duty->private task,offer help,True,True
1264,71,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,private task->recover focus,give space,True,True
1265,71,move,position changes but history remains intact,scheduler and debt panel update after reload,Milo,care,0.004,recover focus->work,finish owed work,True,True
1266,71,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,work->rest,rest before retry,True,True
1267,71,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,rest->negotiate debt,apologize and wait,True,True
1268,71,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,negotiate debt->care duty,return object,True,True
1269,71,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,seek tool->care duty,offer help,True,True
1270,71,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,care duty->recover focus,give space,True,True
1271,71,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Milo,care,0.002,private task->recover focus,finish owed work,True,True
1272,71,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.016,recover focus->work,rest before retry,True,True
1273,71,move,position changes but history remains intact,scheduler and debt panel update after reload,Tovan,wood,0.004,work->rest,apologize and wait,True,True
1274,71,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.02,rest->negotiate debt,return object,True,True
1275,71,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,negotiate debt->seek tool,offer help,True,True
1276,71,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,seek tool->private task,give space,True,True
1277,71,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,care duty->private task,finish owed work,True,True
1278,72,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Sera,water,-0.002,recover focus->work,apologize and wait,True,True
1279,72,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,work->rest,return object,True,True
1280,72,move,position changes but history remains intact,scheduler and debt panel update after reload,Nia,care,0.004,rest->negotiate debt,offer help,True,True
1281,72,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,negotiate debt->seek tool,give space,True,True
1282,72,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,seek tool->care duty,finish owed work,True,True
1283,72,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Milo,care,-0.02,care duty->recover focus,rest before retry,True,True
1284,72,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,private task->recover focus,apologize and wait,True,True
1285,72,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,recover focus->rest,return object,True,True
1286,72,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Nia,care,-0.002,work->rest,offer help,True,True
1287,72,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,rest->negotiate debt,give space,True,True
1288,72,move,position changes but history remains intact,scheduler and debt panel update after reload,Fay,wood,0.004,negotiate debt->seek tool,finish owed work,True,True
1289,72,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,seek tool->care duty,rest before retry,True,True
1290,72,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,care duty->private task,apologize and wait,True,True
1291,72,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,private task->work,return object,True,True
1292,72,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,recover focus->work,offer help,True,True
1293,72,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Ari,water,-0.02,work->negotiate debt,give space,True,True
1294,72,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Fay,wood,-0.002,rest->negotiate debt,finish owed work,True,True
1295,72,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,negotiate debt->seek tool,rest before retry,True,True
1296,73,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,care duty->private task,return object,True,True
1297,73,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,private task->recover focus,offer help,True,True
1298,73,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,recover focus->rest,give space,True,True
1299,73,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,work->rest,finish owed work,True,True
1300,73,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,rest->seek tool,rest before retry,True,True
1301,73,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Milo,care,0.002,negotiate debt->seek tool,apologize and wait,True,True
1302,73,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,seek tool->care duty,return object,True,True
1303,73,move,position changes but history remains intact,scheduler and debt panel update after reload,Tovan,wood,0.004,care duty->private task,offer help,True,True
1304,73,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,private task->recover focus,give space,True,True
1305,73,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,recover focus->work,finish owed work,True,True
